cuisine_group,total_reviews,misclassified_count,misclassification_rate
American,8279,3180,0.3841043604300036
Specialty Food / Market,3224,1134,0.35173697270471466
Other,2013,759,0.3770491803278688
Mexican,1091,425,0.38955087076076994
Italian,896,342,0.38169642857142855
Health / Vegetarian,846,321,0.37943262411347517
Thai,605,244,0.4033057851239669
Fast Food,606,224,0.3696369636963696
Steakhouses / BBQ,508,201,0.3956692913385827
Seafood,522,186,0.3563218390804598
Fusion,418,165,0.39473684210526316
Chinese,359,143,0.3983286908077994
Bakery / Dessert,401,139,0.34663341645885287
Japanese,307,134,0.4364820846905538
Vietnamese,221,93,0.42081447963800905
African,165,61,0.3696969696969697
Middle Eastern / Mediterranean,139,56,0.4028776978417266
Indian,118,43,0.3644067796610169
European,84,33,0.39285714285714285
Noodles / Ramen,55,21,0.38181818181818183
Caribbean,51,13,0.2549019607843137
